name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
HATS-67 b,0,1.45,1.685,1.6091788,0.03032,0.0,,,,79.03,2193.0,,transit,2018.0,18/12/13,12 00 50.1182,-46 08 11.1247,987.1,1.435,1.441,0.332,6594.0,,Confirmed planets
TOI-700 b,0,,0.093,9.97702,0.0677,0.081,-75.0,,,89.66,417.0,,transit,2020.0,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.07,3461.0,,Confirmed planets
TOI-700 c,0,,0.236,16.05111,0.0929,0.078,81.0,,,88.868,356.0,,transit,2020.0,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.07,3461.0,,Confirmed planets
TOI-700 d,0,,0.102,37.42475,0.1633,0.111,0.0,,,89.79,269.0,,transit,2020.0,20/07/23,06 28 23,-65 34 46,31.07,0.41,0.42,-0.07,3461.0,,Confirmed planets
HAT-P-23 b,0,2.09,1.368,1.212884,0.0232,0.106,,,,85.1,1873.6,,transit,2010.0,13/05/29,20 24 29.7235,+16 45 43.8103,393.0,1.13,1.203,0.15,5905.0,,Confirmed planets
KMT-2021-BLG-1303L b,0,0.38,1.21,,2.89,,,,,,,,microlensing,2022.0,23/01/12,18 07 27,-29 16 54,6280.0,0.57,,,,,Confirmed planets
Kepler-365 b,0,,0.18591,10.664903,,,,,,,,,transit,2014.0,14/02/26,19 42 30.3426,+49 07 49.4475,1089.04,,1.048,,6012.0,,Confirmed planets
Kepler-365 c,0,,0.14945,17.784129,,,,,,,,,transit,2014.0,14/02/26,19 42 30.3426,+49 07 49.4475,1089.04,,1.048,,6012.0,,Confirmed planets
GJ 160.2 b,0,0.03209,,5.2354,0.053,0.06,360.0,,,,,,RV,2014.0,19/10/10,04 06 34.8414,-20 51 11.2259,25.88,0.69,,,4347.0,,Confirmed planets
Kepler-1134 b,0,,0.236,17.13263989,,,,,,,,,transit,2016.0,16/05/10,19 42 16.3194,+42 28 41.7838,969.556,0.84,0.81,-0.1,5281.0,,Confirmed planets
KMT-2021-BLG-0240 b,0,0.4,,,2.6,,,,,,,,microlensing,2022.0,22/04/26,17 50 19.00,-30 00 18.00,7000.0,0.47,,,,,Confirmed planets
KMT-2021-BLG-0240 c,0,0.7,,,4.0,,,,,,,,microlensing,2022.0,22/04/26,17 50 19.00,-30 00 18.00,7000.0,0.47,,,,,Confirmed planets
HD 86065 b,0,9.053,1.12,25775.78859,15.947,0.219,142.418,,,29.821,,,RV,2022.0,23/10/15,09 55 42,-18 06 25,40.3661,0.81,0.78,-0.02,4927.56,,Confirmed planets
Kepler-1749 b,0,0.0102,0.144,14.53409958,0.0956,0.0,,,,88.07,420.0,,transit,2021.0,22/09/15,19 21 11,+45 33 52,268.2,0.55,0.55,-0.16,3957.0,,Confirmed planets
OGLE-2017-BLG-1375L b,0,11.28,,,3.04,,,,,,,,microlensing,2020.0,20/11/05,17 56 37,-30 18 41,3930.0,0.81,,,,,Confirmed planets
Kepler-244 b,0,,0.25152,4.311792,,,,,,,,,transit,2014.0,14/02/26,19 08 58.2405,+42 18 04.9005,1104.52,0.91,0.803,,5554.0,,Confirmed planets
